A_en,A,A_ens,D_ens,D_en,D,DFlist,Regaddr
Vlight,電燈,light,spotlight,spotlight,投射燈,"['Switch1',]",20220501sp2
Vlight,電燈,light,light number two,CHT LED,電燈二,"['Switch1','Luminance-I']",20220501CHTLED
Vlight,電燈,light,indirect light,indirect light,間接照明,"['Switch1',]",20220501sp3
Vlight,電燈,light,light number one,fluorescent lamp,電燈一,"['Switch1',]",20220501Lightctl
Vlight,電燈,light,triangle light,triangle light,三角燈,"['Switch1','Luminance-I']",20220501trilight
Vlight,電燈,light,light number three,CAG LED,電燈三,"['Switch1','Luminance-I','ColorTemperature-I']",20220501CAGLED
Vfan,電扇,fan,fan number one,tatung fan,電扇一,"['Switch1','Fanspeed-I']",20220501Tatungfan
Vfan,電扇,fan,fan number two,chimei fan,電扇二,"['Switch1','Fanspeed-I']",20220501Chimeifan
Vcurtain,窗簾,curtain,curtain number one,curtain1,窗簾一,"['Switch1',]",20220501curtain1
Vcurtain,窗簾,curtain,curtain number two,curtain2,窗簾二,"['Switch1',]",20220501curtain2
Vcurtain,窗簾,curtain,curtain number three,curtain3,窗簾三,"['Switch1',]",20220501curtain3
Vwindow,窗戶,window,window,window,窗戶,"['Switch1',]",20220501window
Vairpurifier,空氣清淨機,air purifier,Tatung airpurifier,Tatung airpurifier,大同空氣清淨機,"['Switch1',]",20220501airpurifier
Vdummy,手臂,arm,robotic arm,robotic arm,機械手臂,"['Rotation-I',]",20220501roboticarm
Vdoor,門,door,door,door,大門,"['Switch1',]",20220501door
